Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
Futures - Medical Advisor Case Enquiry/Generate A Doc,futures--medical-advisor-case-enquiry-generate-a-doc,1,1,0,all
Deletions Database,deletions-database_1,1,0,0,all
Coastal Flood Zones version 3.4,coastal-flood-zones-version-3-4,1,1,0,all
Tilmicosin,tilmicosin,1,0,0,all
Keypoint Customer Surveys Application,keypoint-customer-surveys-application,1,0,0,all
"Payments to Supplier over £25,000 threshold May-12",payments-to-supplier-over-25-000-threshold-may-12,1,0,0,all
http://www.dudleyccg.nhs.uk/wp-content/uploads/2013/04/April-2014.xls,http-www-dudleyccg-nhs-uk-wp-content-uploads-2013-04-april-2014-xls,1,0,0,all
Enquiry Tracking,enquiry-tracking,1,0,0,all
IEMA Register,iema-register,1,1,0,all
Payments Made to Individuals for Exceptional Reasons,payments-made-to-individuals-for-exceptional-reasons,1,0,0,all
1989 Bristol Channel Plankton Data - Research Vessel Corystes 06/89,1989-bristol-channel-plankton-data--research-vessel-corystes-06-89,1,1,0,all
NHS Canterbury and Coastal CCG Expenditure for January 2014,nhs-canterbury-and-coastal-ccg-expenditure-for-january-2014,1,0,0,all
NHS North Manchester CCG over 25K spend October 2013,nhs-north-manchester-ccg-over-25k-spend-october-2013,1,0,0,all
Children and Family Court Advisory and Support Service Legal Help Line,children-and-family-court-advisory-and-support-service-legal-help-line,1,0,0,all
Pollution Inventory Value Added Re-Seller Database (AfA025),pollution-inventory-value-added-re-seller-database-afa025,1,1,0,all
Pollinators as delivery agents,pollinators-as-delivery-agents,1,1,0,all
GPC transactions of £500 and above during October 2011 - January 2012,gpc-transactions_of_500_and_above,1,1,0,all
Southend Parks and Nature Reserves,southend-parks-and-nature-reserves,1,1,0,all
CEDaR Rare Plant Taxa Data from NIEA (Metadata),cedar-rare-plant-taxa-data-from-niea-metadata,1,0,0,all
Macrolophus Identification,macrolophus-identification,1,0,0,all
"Healthcheck, Enabling, Aftercare and Leverage (HEAL)",healthcheck-enabling-aftercare-and-leverage-heal,1,0,0,all
Organogram for Crown Prosecution Service,staff-organograms-and-pay-cps,1,0,0,all
NHS Canterbury and Coastal CCG Expenditure for June 2014,nhs-canterbury-and-coastal-ccg-expenditure-for-june-2014,1,0,0,all
NHS Barnsley CCG Expenditure over £25K Dec 2013,nhs-barnsley-ccg-expenditure-over-25k-dec-2013,1,0,0,all
Potato Cyst Nematode (PCN) Statutory testing,potato-cyst-nematode-pcn-statutory-testing,1,0,0,all
Payments to suppliers with a value over £25000 from Leeds Community Healthcare NHS Trust,healthcare_spend_over_25000_leedscommunity_jan,1,0,0,all
Armed Forces Pension Scheme Statistics Documentation,armed-forces-pension-scheme-statistics-documentation,1,0,0,all
Work Programme for Consumer Price Statistics,work_programme_for_consumer_price_statistics,1,0,0,all
Energy Statistics for the Defence Academy,energy-statistics-for-the-defence-academy,1,0,0,all
Forest Service Rock in Forests (Metadata),forest-service-rock-in-forests-metadata,1,0,0,all
cycleway,cycleway,1,0,0,all
NHS Rotherham CCG Expenditure over £25K Jul 2014,nhs-rotherham-ccg-expenditure-over-25k-jul-2014,1,0,0,all
Deed Information,deed-information,1,0,0,all
http://www.dudleyccg.nhs.uk/wp-content/uploads/2013/04/August-2013.xls,http-www-dudleyccg-nhs-uk-wp-content-uploads-2013-04-august-2013-xls,1,0,0,all
Scheme registration data (SCORE),scheme-registration-data-score_1,1,0,0,all
Independent Monitoring Board Database,independent-monitoring-board-database,1,0,0,all
"1989 University of Southampton, Poole Bay, Benthic hand-core and dive survey",1989-university-of-southampton-poole-bay-benthic-hand-core-and-dive-survey,1,0,0,all
"Spend over £25,000 in NHS Wirral",financial-transactions-data-nhs-wirral3,1,0,0,all
Marine Management Organisation Legacy Marine Licences (Polygon) Web Mapping Service (WMS),marine-management-organisation-legacy-marine-licences-polygon-web-mapping-service-wms,1,0,0,all
Large Case List,large-case-list,1,0,0,all
"Spend over £25,000 in NHS Kent and Medway for February 2013",spend-over-25-000-in-nhs-kent-and-medway-for-february-2013,1,0,0,all
GSNI Tellus Regional Shallow Soils - pH (Metadata),gsni-tellus-regional-shallow-soils-ph-metadata,1,0,0,all
ACRO List,acro-list,1,0,0,all
PQ database,pq-database,1,1,0,all
Expert Domain Database,expert-domain-database,1,1,0,all
"Over £25,000 Spend ICHNT 2014 P11 February Return",over-25-000-spend-ichnt-2014-p11-february-return,1,0,0,all
Gateway team data,gateway-team-data,1,0,0,all
oda-transparency-report-Dec-2013,oda-transparency-report-dec-2013,1,0,0,all
"2000 -  Centre for Environment, Fisheries & Aquaculture Science (Cefas) SmartBuoy marine observational network",2000-centre-for-environment-fisheries-aquaculture-science-cefas-smartbuoy-marine-observational,1,0,0,all
Memberships,memberships,1,0,0,all
"Land Cover Map 2007 (1km percentage aggregate class, GB) v1.2",land-cover-map-2007-1km-percentage-aggregate-class-gb-v1-2,1,0,0,all
NAO Master Tracker,nao-master-tracker,1,1,0,all
Research Vessel Scotia 1512S Seabed Videos,research-vessel-scotia-1512s-seabed-videos,1,0,0,all
Spend over £25k in Plymouth PCT,financial-transactions-data-plymouth-pct-feb11,1,0,0,all
Child Maintenance Debt Management ,child-maintenance-debt-management-_1,1,0,0,all
Quarterly Inquiry of Projects in Progress,quarterly-inquiry-of-projects-in-progress,1,0,0,all
North Lincolnshire Council Local Development Plans - Committed Industry,north-lincolnshire-council-local-development-plans-committed-industry,1,0,0,all
Nanolyse,nanolyse,1,1,0,all
SHARP Database,sharp-database,1,0,0,all
inspire_ldp_hatches,inspire-ldp-hatches,1,0,0,all
Salmonella National Control Plan,salmonella-national-control-plan,1,0,0,all
Electronic Vehicle Licensing (EVL) Transaction Data,electronic-vehicle-licensing-evl-transaction-data,1,0,0,all
CEDaR IRTU (General) (Metadata),cedar-irtu-general-metadata,1,0,0,all
Universal Drive,universal-drive,1,0,0,all
Palo,palo,1,0,0,all
NHS Stoke on Trent Expenditure Over 25k Jun 2011,nhssot-expenditure-over-25k-jun-2011,1,0,0,all
Soil Subgroup Properties,soil-subgroup-properties,1,1,0,all
Peterborough City Council - Percentage of older people in expensive placements,peterborough-city-council-percentage-of-older-people-in-expensive-placements,1,0,0,all
Waste Statistics for the Defence Academy,waste-statistics-for-the-defence-academy,1,0,0,all
Stamp Taxes,stamp-taxes_1,1,0,0,all
Information held by TMG Criminal Records Bureau,information-held-by-tmg-criminal-records-bureau,1,0,0,all
oda-transparency-report-March-2014,oda-transparency-report-march-2014,1,0,0,all
Adult Learning Option Pilot ,adult-learning-option-pilot-_1,1,1,0,all
REDACTED,redacted,1,1,0,all
Salaries and Related Records,salaries-and-related-records_1,1,0,0,all
Student Loans in England,student_loans_in_england,1,0,0,all
Export refund claim files,export-refund-claim-files,1,0,0,all
Project Register,project-register_1,1,1,0,all
Boatmasters' Licence System,boatmasters-licence-system,1,1,0,all
UK Territorial Sea,uk-territorial-sea,1,0,0,all
january-financial-transactions-data-walsall-hospitals-nhs-trust,january-financial-transactions-data-walsall-hospitals-nhs-trust,1,0,0,all
Third Party Payments database,third-party-payments-database,1,0,0,all
"Spend Over £25,000 in South West Strategic Health Authority –  Novemberr 2011",swsha-2011-nov,1,0,0,all
Taunton and Somerset NHS FoundatioExpenditure Over £25k May 2013 Trust ,taunton-and-somerset-nhs-foundatioexpenditure-over-25k-may-2013-trust,1,0,0,all
DECC theoretical benefit flags 2011,decc-theoretical-benefit-flags-2011,1,1,0,all
NI 107h - Key Stage 2 attainment for Black and minority ethnic groups,ni-107h-key-stage-2-attainment-for-black-and-minority-ethnic-groups,1,0,0,all
Allerdale Land Maintenance Land Charge,allerdale-land-maintenance-land-charge,1,1,0,all
"Souter Point Grab sample survey collected in support of Food and Environmental Protection Act (FEPA) monitoring, North Sea, 1992 & 2005-Present",souter-point-grab-sample-survey-collected-in-support-of-food-and-environmental-protection-act-f,1,1,0,all
Defence Irregularity Reports,defence-irregularity-reports,1,0,0,all
Quality Assurance data,quality-assurance-data,1,1,0,all
Fly behaviour,fly-behaviour,1,1,0,all
Allerdale Gazetteer Streets,allerdale-gazetteer-streets,1,0,0,all
NI 108e - Key Stage 4 attainment for black and minority ethnic groups,ni-108e-key-stage-4-attainment-for-black-and-minority-ethnic-groups,1,1,0,all
Security Connect,security-connect,1,0,0,all
Fees paid to care home providers,fees-paid-to-care-home-providers,1,0,0,all
Staff in receipt of overtime payments report,staff-in-receipt-of-overtime-payments-report_1,1,1,0,all
Compliance Quality Initiative (CQI),compliance-quality-initiative-cqi_1,1,0,0,all
CCO South West singlebeam bathymetry 2010,cco-south-west-singlebeam-bathymetry-2010,1,0,0,all
2006-AFBI-PiscesReef Survey Sidescan Data (Agri-Food and Biosciences Institute),2006-afbi-piscesreef-survey-sidescan-data-agri-food-and-biosciences-institute,1,1,0,all
CIO-DSAS Pol and Standards Database,cio-dsas-pol-and-standards-database,1,1,0,all
Spend Over £25k in Plymouth Pct August 2011,financial-transactions-data-plymouthpct-august2011,1,0,0,all
Groundwater Water Abstractions (no return)/ Recharge% - Recent Actual ,groundwater-water-abstractions-no-return-recharge--recent-actual,1,1,0,all
Bus Lane fines,bus-lane-fines,1,0,0,all
Manuka,manuka,1,0,0,all
NHS North Staffordshire - November 2012,nhs-north-staffordshire-november-2012,1,0,0,all
RBWM Listed Buildings,rbwm-listed-buildings,1,0,0,all
"2007 Envision Mapping Ltd, Poole Bay Dorset, drop down video survey for Annex 1 habitat",2007-envision-mapping-ltd-poole-bay-dorset-drop-down-video-survey-for-annex-1-habitat,1,0,0,all
"Spend Over £25,000 in South West Strategic Health Authority – August 2011",swsha-2011-aug,1,0,0,all
Root data from Climoor fieldsite in Clocaenog Forest,root-data-from-climoor-fieldsite-in-clocaenog-forest,1,0,0,all
OS MasterMap® Integrated Transport Network Layer™,os-mastermap-integrated-transport-network-layer,1,1,0,all
CEDaR IRTU Macrophyte Survey (Metadata),cedar-irtu-macrophyte-survey-metadata,1,0,0,all
Board and Executive Committee expenses,board-and-executive-committee-expenses,1,0,0,all
NHS Central Manchester CCG over25K spend February 2014,nhs-central-manchester-ccg-over25k-spend-february-2014,1,0,0,all
JO Business Continuity Plans,jo-business-continuity-plans,1,0,0,all
Fish Landings to United Kingdom Ports 2007 Web Mapping Service (WMS),fish-landings-to-united-kingdom-ports-2007-web-mapping-service-wms,1,0,0,all
NATMAP 1K (version 3),natmap-1k-version-31,1,0,0,all
Index to the UK (North) type and stratigraphical collection of fossils,index-to-the-uk-north-type-and-stratigraphical-collection-of-fossils1,1,0,0,all
1981-2010 Western English Channel - Western Channel Offshore Scallop Surveys,1981-2010-western-english-channel--western-channel-offshore-scallop-surveys,1,0,0,all
Markets information,markets-information,1,1,0,all
CCO South East topographic 2002,cco-south-east-topographic-2002,1,0,0,all
Rivers Biological Status ,rivers-biological-status,1,1,0,all
NHS North Staffordshire - September 2012,nhs-north-staffordshire-september-2012,1,0,0,all
Large Litigation Cases - Indirect tax,large-litigation-cases--indirect-tax_1,1,1,0,all
The impact of calculating cancer incidence rates using the 2013 European Standard Population,the_impact_of_calculating_cancer_incidence_rates_using_the_2013_european_standard_population,1,1,0,all
Museums loans,museums-loans,1,0,0,all
CEND 8/12b Infauna Data (CEND = Cefas Endeavour),cend-8-12b-infauna-data-cend-cefas-endeavour,1,0,0,all
Other regular and ad hoc consumer and business surveys,other-regular-and-ad-hoc-consumer-and-business-surveys,1,0,0,all
Shopping Core Areas in Town Centres (Local Plan Policies SHO2 & SHO3),shopping-core-areas-in-town-centres-local-plan-policies-sho2-sho3,1,1,0,all
BBSRC 2011 January 25K spend,financial-transactions-data-bis-bbsrc-jan-2011,1,0,0,all
CCO South East topographic 2012,cco-south-east-topographic-2012,1,0,0,all
Organisational Unit Areas,organisational-unit-areas,1,0,0,all
Statement of Fitness for work form (Med 3) evaluation data,statement-of-fitness-for-work-form-med-3-evaluation-data_1,1,0,0,all
Vegetation survey data from Climoor fieldsite in Clocaenog Forest,vegetation-survey-data-from-climoor-fieldsite-in-clocaenog-forest,1,1,0,all
Listed Building Grade 2 STAR,listed-building-grade-2-star,1,0,0,all
Accommodation Participants,accommodation-participants_1,1,1,0,all
Sites of Nature Conservation Interest (SNCI),sites-of-nature-conservation-interest-snci,1,0,0,all
Surveys extracts,surveys-extracts,1,0,0,all
RHI payment data,rhi-payment-data,1,1,0,all
NHS Barnsley CCG Expenditure over £25K Aug 2014,nhs-barnsley-ccg-expenditure-over-25k-aug-2014,1,0,0,all
Prompt Payment statistics for May 2014 from Acas,prompt-payment-statistics-for-may-2014-from-acas,1,0,0,all
CCO South East singlebeam bathymetry 2003,cco-south-east-singlebeam-bathymetry-2003,1,0,0,all
Community Activity,community-activity_1,1,0,0,all
Registration log,registration-log,1,0,0,all
inspire_wildlife_sites,inspire-wildlife-sites,1,0,0,all
July 2014 Over £25k Spend,july-2014-over-25k-spend,1,0,0,all
Loughs Agency Native Oysters (Metadata),loughs-agency-native-oysters-metadata1,1,0,0,all
ONS VML Occupational Pensions Scheme Survey,ons-vml-occupational-pensions-scheme-survey,1,0,0,all
Surveillance of lead in children database and information,surveillance-of-lead-in-children-database-and-information,1,0,0,all
Joint Casualty and Compassionate Centre (JCCC) Death In Service & Personal Cash Information,joint-casualty-and-compassionate-centre-jccc-death-in-service-personal-cash-information,1,0,0,all
"Gateway Reviewers in the  Department for Environment, Food and Rural Affairs (Defra)",gateway-reviewers-in-the-department-for-environment-food-and-rural-affairs-defra,1,0,0,all
UHNS £25k May13,uhns-25k-may13,1,0,0,all
Valuing and Investing in Service Personnel,valuing-and-investing-in-service-personnel,1,1,0,all
1989 North Sea Plankton Data - Research Vessel Corystes 11/89,1989-north-sea-plankton-data--research-vessel-corystes-11-89,1,1,0,all
Quarterly energy prices,quarterly-energy-prices,1,1,109,all
G-Protein Coupled Receptors (GPCR) Receptor Screening,g-protein-coupled-receptors-gpcr-receptor-screening,1,1,0,all
Electricity consumption data at regional and local authority level,electricity-consumption-2007,1,0,12,all
Operational project delivery plans,operational-project-delivery-plans,1,1,0,all
Tenanted Agricultural Land in Scotland Index,tenanted_agricultural_land_in_scotland_index,1,0,0,all
PS12A Royal Garden Party Database 2000-2006,ps12a-royal-garden-party-database-2000-2006,1,1,0,all
"""Spend at The Genome Analysis Centre",financial-transactions-data-tgac-jan,1,1,0,all
Global emissions and marginal abatement cost curves for forestry 2015 -2050,global-emissions-and-marginal-abatement-cost-curves-for-forestry-2015-2050,1,1,0,all
